,date,county,city,race,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
2466,2021-03-09,Suffolk,Chelsea,AI/AN,53.0,,,,,
2467,2021-03-09,Suffolk,Chelsea,Asian,810.0,207.0,109.0,,,98.0
2468,2021-03-09,Suffolk,Chelsea,Black,3336.0,399.0,237.0,,,162.0
2469,2021-03-09,Suffolk,Chelsea,Hispanic,25092.0,1791.0,810.0,,,981.0
2470,2021-03-09,Suffolk,Chelsea,Multi,420.0,81.0,50.0,,,31.0
2471,2021-03-09,Suffolk,Chelsea,NH/PI,16.0,,,,,
2472,2021-03-09,Suffolk,Chelsea,White,7307.0,2443.0,1494.0,,,949.0
2473,2021-03-09,Suffolk,Chelsea,Other/Unknown,,1265.0,679.0,,,586.0
2474,2021-03-09,Suffolk,Chelsea,Total,36918.0,,,,,
5490,2021-03-16,Suffolk,Chelsea,AI/AN,53.0,,,,,
5491,2021-03-16,Suffolk,Chelsea,Asian,810.0,246.0,135.0,,,111.0
5492,2021-03-16,Suffolk,Chelsea,Black,3336.0,460.0,277.0,,,183.0
5493,2021-03-16,Suffolk,Chelsea,Hispanic,25092.0,2201.0,1082.0,,,1119.0
5494,2021-03-16,Suffolk,Chelsea,Multi,420.0,91.0,60.0,,,31.0
5495,2021-03-16,Suffolk,Chelsea,NH/PI,16.0,,,,,
5496,2021-03-16,Suffolk,Chelsea,White,7307.0,2736.0,1730.0,,,1006.0
5497,2021-03-16,Suffolk,Chelsea,Other/Unknown,,1340.0,742.0,,,598.0
5498,2021-03-16,Suffolk,Chelsea,Total,36918.0,,,,,
8523,2021-03-23,Suffolk,Chelsea,AI/AN,53.0,,,,,
8524,2021-03-23,Suffolk,Chelsea,Asian,810.0,307.0,161.0,,,146.0
8525,2021-03-23,Suffolk,Chelsea,Black,3336.0,534.0,330.0,,,204.0
8526,2021-03-23,Suffolk,Chelsea,Hispanic,25092.0,2653.0,1415.0,,,1238.0
8527,2021-03-23,Suffolk,Chelsea,Multi,420.0,100.0,65.0,,,35.0
8528,2021-03-23,Suffolk,Chelsea,NH/PI,16.0,,,,,
8529,2021-03-23,Suffolk,Chelsea,White,7307.0,3094.0,2043.0,,,1051.0
8530,2021-03-23,Suffolk,Chelsea,Other/Unknown,,1437.0,814.0,,,623.0
8531,2021-03-23,Suffolk,Chelsea,Total,36918.0,,,,,
11556,2021-03-30,Suffolk,Chelsea,AI/AN,53.0,,,,,
11557,2021-03-30,Suffolk,Chelsea,Asian,810.0,374.0,201.0,,,173.0
11558,2021-03-30,Suffolk,Chelsea,Black,3336.0,608.0,372.0,,,236.0
11559,2021-03-30,Suffolk,Chelsea,Hispanic,25092.0,3357.0,1849.0,,,1508.0
11560,2021-03-30,Suffolk,Chelsea,Multi,420.0,118.0,77.0,,,41.0
11561,2021-03-30,Suffolk,Chelsea,NH/PI,16.0,,,,,
11562,2021-03-30,Suffolk,Chelsea,White,7307.0,3409.0,2309.0,,,1100.0
11563,2021-03-30,Suffolk,Chelsea,Other/Unknown,,1568.0,906.0,,,662.0
11564,2021-03-30,Suffolk,Chelsea,Total,36918.0,,,,,
14589,2021-04-06,Suffolk,Chelsea,AI/AN,53.0,,,,,
